expr,time,trial,mat_size,memory_used
ArmadilloBase,54235,195,1,78796936
Rbase,6551,195,1,78796936
Rbase,20400,196,1,78797008
ArmadilloIterator,149812,196,1,78797008
ArmadilloBase,35756,196,1,78797008
ArmadilloIterator,206500,197,1,78797104
ArmadilloBase,55408,197,1,78797104
Rbase,6121,197,1,78797104
ArmadilloBase,224174,198,1,78797176
ArmadilloIterator,107825,198,1,78797176
Rbase,5951,198,1,78797176
ArmadilloIterator,158124,199,1,78797272
Rbase,10223,199,1,78797272
ArmadilloBase,40425,199,1,78797272
ArmadilloBase,126218,200,1,78797344
Rbase,8660,200,1,78797344
ArmadilloIterator,156118,200,1,78797344
Rbase,23600,201,1,78797456
ArmadilloBase,113517,201,1,78797456
ArmadilloIterator,159822,201,1,78797456
ArmadilloBase,134857,202,1,78797552
ArmadilloIterator,83298,202,1,78797552
Rbase,5271,202,1,78797552
Rbase,60657,203,1,78797624
ArmadilloIterator,317320,203,1,78797624
ArmadilloBase,84002,203,1,78797624
ArmadilloBase,130322,204,1,78797720
ArmadilloIterator,99192,204,1,78797720
Rbase,6220,204,1,78797720
ArmadilloIterator,203791,205,1,78797792
Rbase,19353,205,1,78797792
ArmadilloBase,93330,205,1,78797792
Rbase,19256,206,1,78797888
ArmadilloIterator,135136,206,1,78797888
ArmadilloBase,34738,206,1,78797888
ArmadilloIterator,169537,207,1,78797960
Rbase,9939,207,1,78797960
ArmadilloBase,40779,207,1,78797960
ArmadilloIterator,177916,208,1,78798072
Rbase,9561,208,1,78798072
ArmadilloBase,35986,208,1,78798072
Rbase,31928,209,1,78798168
ArmadilloBase,101748,209,1,78798168
ArmadilloIterator,85857,209,1,78798168
ArmadilloBase,343474,210,1,78798240
ArmadilloIterator,207546,210,1,78798240
Rbase,15683,210,1,78798240
ArmadilloBase,117545,211,1,78798336
ArmadilloIterator,89794,211,1,78798336
Rbase,5788,211,1,78798336
ArmadilloIterator,164382,212,1,78798408
Rbase,9278,212,1,78798408
ArmadilloBase,36601,212,1,78798408
ArmadilloIterator,200227,213,1,78798504
Rbase,9348,213,1,78798504
ArmadilloBase,39138,213,1,78798504
Rbase,21253,214,1,78798576
ArmadilloIterator,141449,214,1,78798576
ArmadilloBase,41397,214,1,78798576
ArmadilloBase,105572,215,1,78798688
Rbase,5657,215,1,78798688
ArmadilloIterator,96406,215,1,78798688
Rbase,80213,216,1,78798784
ArmadilloBase,194334,216,1,78798784
ArmadilloIterator,102963,216,1,78798784
Rbase,19469,217,1,78798856
ArmadilloIterator,133715,217,1,78798856
ArmadilloBase,37882,217,1,78798856
ArmadilloBase,303750,218,1,78798952
Rbase,15004,218,1,78798952
ArmadilloIterator,175776,218,1,78798952
Rbase,39050,219,1,78799024
ArmadilloBase,238943,219,1,78799024
ArmadilloIterator,207821,219,1,78799024
ArmadilloBase,113985,220,1,78799120
Rbase,5909,220,1,78799120
ArmadilloIterator,103436,220,1,78799120
ArmadilloBase,188949,221,1,78799232
Rbase,8698,221,1,78799232
ArmadilloIterator,137051,221,1,78799232
ArmadilloBase,102096,222,1,78799304
Rbase,5692,222,1,78799304
ArmadilloIterator,87118,222,1,78799304
ArmadilloBase,137009,223,1,78799400
ArmadilloIterator,147390,223,1,78799400
Rbase,7422,223,1,78799400
Rbase,35226,224,1,78799472
ArmadilloIterator,246269,224,1,78799472
ArmadilloBase,38694,224,1,78799472
Rbase,20881,225,1,78799568
ArmadilloIterator,165321,225,1,78799568
ArmadilloBase,34602,225,1,78799568
ArmadilloBase,108691,226,1,78799640
Rbase,5436,226,1,78799640
ArmadilloIterator,89030,226,1,78799640
Rbase,21465,227,1,78799736
ArmadilloIterator,159903,227,1,78799736
ArmadilloBase,34904,227,1,78799736
Rbase,20295,228,1,78799848
ArmadilloBase,92144,228,1,78799848
ArmadilloIterator,88004,228,1,78799848
Rbase,21051,229,1,78799920
ArmadilloIterator,145771,229,1,78799920
ArmadilloBase,34019,229,1,78799920
Rbase,13156,230,1,78800016
ArmadilloBase,85822,230,1,78800016
ArmadilloIterator,72217,230,1,78800016
Rbase,20229,231,1,78800088
ArmadilloBase,87348,231,1,78800088
ArmadilloIterator,95358,231,1,78800088
Rbase,19140,232,1,78800184
ArmadilloBase,96371,232,1,78800184
ArmadilloIterator,90723,232,1,78800184
Rbase,20938,233,1,78800256
ArmadilloIterator,142427,233,1,78800256
ArmadilloBase,32816,233,1,78800256
Rbase,37853,234,1,78800352
ArmadilloIterator,202411,234,1,78800352
ArmadilloBase,38061,234,1,78800352
ArmadilloIterator,139783,235,1,78800464
ArmadilloBase,35548,235,1,78800464
Rbase,4552,235,1,78800464
ArmadilloIterator,158148,236,1,78800536
Rbase,10398,236,1,78800536
ArmadilloBase,39712,236,1,78800536
Rbase,19079,237,1,78800632
ArmadilloBase,84815,237,1,78800632
ArmadilloIterator,76264,237,1,78800632
ArmadilloBase,105356,238,1,78800704
Rbase,5424,238,1,78800704
ArmadilloIterator,110675,238,1,78800704
Rbase,20075,239,1,78800800
ArmadilloBase,89907,239,1,78800800
ArmadilloIterator,83864,239,1,78800800
ArmadilloBase,122008,240,1,78800872
Rbase,5488,240,1,78800872
ArmadilloIterator,85434,240,1,78800872
Rbase,36418,241,1,78800984
ArmadilloBase,113957,241,1,78800984
ArmadilloIterator,130494,241,1,78800984
ArmadilloIterator,155269,242,1,78801080
ArmadilloBase,62150,242,1,78801080
Rbase,5185,242,1,78801080
ArmadilloIterator,221704,243,1,78801152
ArmadilloBase,72808,243,1,78801152
Rbase,7028,243,1,78801152
ArmadilloBase,242313,244,1,78801248
