expr,time,trial,mat_size,memory_used
RcppOpenMP,252077,173,1,51541976
RcppParallel,296004,173,1,51541976
RparallelColumn,49746570,173,1,51541976
RparallelRow,36950027,174,1,51542088
RparallelColumn,48339149,174,1,51542088
RcppOpenMP,183223,174,1,51542088
RcppParallel,216622,174,1,51542088
RparallelColumn,44711644,175,1,51542200
RparallelRow,37554860,175,1,51542200
RcppParallel,246882,175,1,51542200
RcppOpenMP,2045856,175,1,51542200
RparallelColumn,44305598,176,1,51542352
RparallelRow,36377862,176,1,51542352
RcppParallel,272983,176,1,51542352
RcppOpenMP,120343,176,1,51542352
RparallelRow,37174352,177,1,51542464
RparallelColumn,47974581,177,1,51542464
RcppParallel,201678,177,1,51542464
RcppOpenMP,155137,177,1,51542464
RparallelRow,35401685,178,1,51542576
RcppParallel,298557,178,1,51542576
RparallelColumn,49410334,178,1,51542576
RcppOpenMP,183986,178,1,51542576
RcppOpenMP,210513,179,1,51542688
RcppParallel,243528,179,1,51542688
RparallelColumn,44281709,179,1,51542688
RparallelRow,37985166,179,1,51542688
RparallelColumn,44506003,180,1,51542800
RcppOpenMP,147089,180,1,51542800
RparallelRow,36756887,180,1,51542800
RcppParallel,272890,180,1,51542800
RcppParallel,253560,181,1,51542928
